id	location_0_coordinate	location_1_coordinate	city	state
11174	38.495601654052734	-122.97899627685547	GUERNEVILLE	CA
11175	41.63779830932617	-92.347900390625	GUERNSEY	IA
11176	42.25680160522461	-104.78700256347656	GUERNSEY	WY
11177	27.071300506591797	-98.6863021850586	GUERRA	TX
11178	30.010400772094727	-92.56089782714844	GUEYDAN	LA
11179	38.83539962768555	-105.56199645996094	GUFFEY	CO
11180	40.07160186767578	-98.33000183105469	GUIDE ROCK	NE
11181	43.3656005859375	-72.12560272216797	GUILD	NH
11182	35.02909851074219	-85.51719665527344	GUILD	TN
11183	42.70349884033203	-73.96029663085938	GUILDERLAND	NY
11184	42.694801330566406	-73.9052963256836	GUILDERLAND CENTER	NY
11185	44.671199798583984	-71.66220092773438	GUILDHALL	VT
11186	41.33879852294922	-72.69010162353516	GUILFORD	CT
11187	39.19329833984375	-84.96440124511719	GUILFORD	IN
11188	45.316001892089844	-69.4573974609375	GUILFORD	ME
11189	40.352298736572266	-94.90049743652344	GUILFORD	MO
11190	42.3651008605957	-75.61170196533203	GUILFORD	NY
11191	34.07889938354492	-87.81379699707031	GUIN	AL
11192	38.850399017333984	-122.21499633789062	GUINDA	CA
11193	36.064300537109375	-91.9447021484375	GUION	AR
11194	35.56269836425781	-79.3386001586914	GULF	NC
11195	30.357999801635742	-87.1593017578125	GULF BREEZE	FL
11196	29.244699478149414	-82.74019622802734	GULF HAMMOCK	FL
11197	30.2637996673584	-87.69560241699219	GULF SHORES	AL
11198	30.365800857543945	-89.0927963256836	GULFPORT	MS
11199	46.04209899902344	-86.23580169677734	GULLIVER	MI
11200	47.83639907836914	-96.35040283203125	GULLY	MN
11201	37.31529998779297	-104.73500061035156	GULNARE	CO
11202	36.77009963989258	-83.33070373535156	GULSTON	KY
11203	37.79819869995117	-77.9375	GUM SPRING	VA
11204	36.35609817504883	-77.48310089111328	GUMBERRY	NC
11205	37.58919906616211	-82.94519805908203	GUNLOCK	KY
11206	37.28770065307617	-113.76100158691406	GUNLOCK	UT
11207	38.54439926147461	-106.927001953125	GUNNISON	CO
11208	34.0005989074707	-90.91960144042969	GUNNISON	MS
11209	39.13629913330078	-111.84600067138672	GUNNISON	UT
11210	39.38019943237305	-76.29550170898438	GUNPOWDER	MD
11211	33.449100494384766	-96.70950317382812	GUNTER	TX
11212	34.34489822387695	-86.27519989013672	GUNTERSVILLE	AL
11213	34.42110061645508	-88.66600036621094	GUNTOWN	MS
11214	18.25909996032715	-65.97460174560547	GURABO	PR
11215	33.93000030517578	-93.12999725341797	GURDON	AR
11216	34.72269821166992	-86.40350341796875	GURLEY	AL
11217	41.314998626708984	-102.98300170898438	GURLEY	NE
11218	42.375099182128906	-87.939697265625	GURNEE	IL
11219	40.16019821166992	-109.5479965209961	GUSHER	UT
11220	58.3317985534668	-135.18099975585938	GUSTAVUS	AK
11221	37.15039825439453	-120.98699951171875	GUSTINE	CA
11222	31.846799850463867	-98.40170288085938	GUSTINE	TX
11223	37.88990020751953	-86.19979858398438	GUSTON	KY
11224	36.714900970458984	-87.15019989013672	GUTHRIE	KY
11225	35.87710189819336	-97.456298828125	GUTHRIE	OK
11226	33.61669921875	-100.25499725341797	GUTHRIE	TX
11227	41.68349838256836	-94.55970001220703	GUTHRIE CENTER	IA
11228	42.845699310302734	-91.24949645996094	GUTTENBERG	IA
11229	35.32270050048828	-92.33480072021484	GUY	AR
11230	29.350000381469727	-95.77210235595703	GUY	TX
11231	36.729698181152344	-101.4260025024414	GUYMON	OK
11232	35.055999755859375	-88.50440216064453	GUYS	TN
11233	41.666099548339844	-80.06580352783203	GUYS MILLS	PA
11234	39.249298095703125	-81.9219970703125	GUYSVILLE	OH
11235	32.331600189208984	-81.38420104980469	GUYTON	GA
11236	46.33110046386719	-87.439697265625	GWINN	MI
11237	46.1526985168457	-97.7677001953125	GWINNER	ND
11238	40.200801849365234	-75.25070190429688	GWYNEDD	PA
11239	40.18109893798828	-75.25789642333984	GWYNEDD VALLEY	PA
11240	37.410301208496094	-76.29409790039062	GWYNN	VA
11241	39.325599670410156	-76.73660278320312	GWYNN OAK	MD
11242	39.66170120239258	-85.64759826660156	GWYNNEVILLE	IN
11243	39.615501403808594	-106.89600372314453	GYPSUM	CO
11244	38.710899353027344	-97.49210357666016	GYPSUM	KS
11245	41.50379943847656	-82.87079620361328	GYPSUM	OH
11246	39.28519821166992	-80.38529968261719	GYPSY	WV
11247	31.890399932861328	-108.33200073242188	HACHITA	NM
11248	33.97610092163086	-117.98200225830078	HACIENDA HEIGHTS	CA
11249	35.60530090332031	-113.64299774169922	HACKBERRY	AZ
11250	29.89739990234375	-93.36820220947266	HACKBERRY	LA
11251	46.9390983581543	-94.45059967041016	HACKENSACK	MN
11252	40.888301849365234	-74.05030059814453	HACKENSACK	NJ
11253	38.64500045776367	-80.43219757080078	HACKER VALLEY	WV
11254	35.11949920654297	-94.32980346679688	HACKETT	AR
11255	40.86880111694336	-74.8447036743164	HACKETTSTOWN	NJ
11256	34.122501373291016	-87.82820129394531	HACKLEBURG	AL
11257	37.63930130004883	-75.86499786376953	HACKSNECK	VA
11258	42.264400482177734	-97.60130310058594	HADAR	NE
11259	41.471500396728516	-72.51139831542969	HADDAM	CT
11260	39.83549880981445	-97.26940155029297	HADDAM	KS
11261	33.05649948120117	-83.42469787597656	HADDOCK	GA
11262	39.87919998168945	-75.0656967163086	HADDON HEIGHTS	NJ
11263	39.87630081176758	-75.03340148925781	HADDONFIELD	NJ
11264	37.825199127197266	-77.98989868164062	HADENSVILLE	VA
11265	36.9833984375	-86.39399719238281	HADLEY	KY
11266	42.3568000793457	-72.57659912109375	HADLEY	MA
11267	42.930599212646484	-83.36000061035156	HADLEY	MI
11268	43.287601470947266	-73.97699737548828	HADLEY	NY
11269	41.32820129394531	-80.29219818115234	HADLEY	PA
11270	41.421199798583984	-72.41410064697266	HADLYME	CT
11271	42.96950149536133	-74.15560150146484	HAGAMAN	NY
11272	32.152801513671875	-81.9259033203125	HAGAN	GA
11273	42.22480010986328	-86.37229919433594	HAGAR SHORES	MI
11274	38.97710037231445	-88.97550201416016	HAGARSTOWN	IL
11275	35.547698974609375	-93.43730163574219	HAGARVILLE	AR
11276	13.466699600219727	144.7469940185547	HAGATNA	GU
11277	44.65549850463867	-92.57369995117188	HAGER CITY	WI
11278	37.78049850463867	-82.84159851074219	HAGERHILL	KY
11279	42.807498931884766	-114.86199951171875	HAGERMAN	ID
11280	33.10150146484375	-104.35700225830078	HAGERMAN	NM
11281	39.89580154418945	-85.05970001220703	HAGERSTOWN	IN
11282	39.638999938964844	-77.72219848632812	HAGERSTOWN	MD
11283	46.0802001953125	-100.0979995727539	HAGUE	ND
11284	43.730201721191406	-73.54350280761719	HAGUE	NY
11285	38.05950164794922	-76.67649841308594	HAGUE	VA
11286	30.941999435424805	-83.33319854736328	HAHIRA	GA
11287	29.966800689697266	-90.408203125	HAHNVILLE	LA
11288	40.17639923095703	-101.68800354003906	HAIGLER	NE
11289	20.849700927734375	-156.16600036621094	HAIKU	HI
11290	44.53310012817383	-75.19290161132812	HAILESBORO	NY
11291	43.54199981689453	-114.30999755859375	HAILEY	ID
11292	34.849998474121094	-95.57769775390625	HAILEYVILLE	OK
11293	59.31269836425781	-135.68099975585938	HAINES	AK
11294	44.94160079956055	-117.98799896240234	HAINES	OR
11295	28.106700897216797	-81.62740325927734	HAINES CITY	FL
11296	42.195499420166016	-74.10230255126953	HAINES FALLS	NY
11297	39.98720169067383	-74.82929992675781	HAINESPORT	NJ
11298	19.911699295043945	-155.1479949951172	HAKALAU	HI
11299	42.008201599121094	-94.99430084228516	HALBUR	IA
11300	42.18299865722656	-74.92559814453125	HALCOTTSVILLE	NY
11301	38.20669937133789	-83.41729736328125	HALDEMAN	KY
11302	44.35879898071289	-83.76470184326172	HALE	MI
11303	39.60540008544922	-93.34269714355469	HALE	MO
11304	34.06460189819336	-101.84600067138672	HALE CENTER	TX
11305	40.93989944458008	-74.18509674072266	HALEDON	NJ
11306	21.631799697875977	-158.03599548339844	HALEIWA	HI
11307	42.943599700927734	-88.04650115966797	HALES CORNERS	WI
11308	39.241600036621094	-76.67729949951172	HALETHORPE	MD
11309	34.17959976196289	-87.50530242919922	HALEYVILLE	AL
11310	37.38909912109375	-122.41600036621094	HALF MOON BAY	CA
11311	37.63100051879883	-93.25800323486328	HALF WAY	MO
11312	36.782100677490234	-86.18409729003906	HALFWAY	KY
11313	44.95220184326172	-117.1240005493164	HALFWAY	OR
11314	41.98830032348633	-70.86060333251953	HALIFAX	MA
11315	36.33720016479492	-77.62920379638672	HALIFAX	NC
11316	40.50709915161133	-76.84380340576172	HALIFAX	PA
11317	36.78379821777344	-78.96430206298828	HALIFAX	VA
11318	46.46670150756836	-113.23899841308594	HALL	MT
11319	42.796600341796875	-77.06390380859375	HALL	NY
11320	32.062400817871094	-93.36799621582031	HALL SUMMIT	LA
11321	40.57389831542969	-96.79979705810547	HALLAM	NE
11322	25.985599517822266	-80.14230346679688	HALLANDALE	FL
11323	41.05939865112305	-115.52999877929688	HALLECK	NV
11324	36.36220169067383	-96.63760375976562	HALLETT	OK
11325	29.418399810791016	-96.93939971923828	HALLETTSVILLE	TX
11326	47.35169982910156	-102.33699798583984	HALLIDAY	ND
11327	37.08369827270508	-83.00270080566406	HALLIE	KY
11328	37.410301208496094	-76.29409790039062	HALLIEFORD	VA
11329	48.77479934692383	-96.94200134277344	HALLOCK	MN
11330	44.24909973144531	-69.79499816894531	HALLOWELL	ME
11331	35.84080123901367	-89.53119659423828	HALLS	TN
11332	34.337398529052734	-78.65299987792969	HALLSBORO	NC
11333	41.96049880981445	-75.74810028076172	HALLSTEAD	PA
11334	39.102298736572266	-92.24030303955078	HALLSVILLE	MO
11335	39.465599060058594	-82.7479019165039	HALLSVILLE	OH
11336	32.52690124511719	-94.57319641113281	HALLSVILLE	TX
11337	37.194400787353516	-93.62750244140625	HALLTOWN	MO
11338	39.31589889526367	-77.877197265625	HALLTOWN	WV
11339	37.88370132446289	-75.6041030883789	HALLWOOD	VA
11340	48.77190017700195	-96.81289672851562	HALMA	MN
11341	41.91379928588867	-100.55599975585938	HALSEY	NE
11342	44.385799407958984	-123.11599731445312	HALSEY	OR
11343	47.35070037841797	-96.82369995117188	HALSTAD	MN
11344	38.02429962158203	-97.50969696044922	HALSTEAD	KS
11345	32.80189895629883	-97.26339721679688	HALTOM CITY	TX
11346	47.587398529052734	-99.6677017211914	HAMBERG	ND
11347	39.11790084838867	-79.5636978149414	HAMBLETON	WV
11348	33.21590042114258	-91.80439758300781	HAMBURG	AR
11349	40.74169921875	-95.58319854736328	HAMBURG	IA
11350	39.134300231933594	-90.69380187988281	HAMBURG	IL
11351	31.037599563598633	-91.9041976928711	HAMBURG	LA
11352	42.452301025390625	-83.814697265625	HAMBURG	MI
11353	44.78580093383789	-93.83789825439453	HAMBURG	MN
11354	41.15919876098633	-74.57689666748047	HAMBURG	NJ
11355	42.72909927368164	-78.83760070800781	HAMBURG	NY
11356	40.36800003051758	-75.86180114746094	HAMBURG	PA
11357	41.395599365234375	-72.89679718017578	HAMDEN	CT
11358	42.19279861450195	-75.01270294189453	HAMDEN	NY
11359	39.17829895019531	-82.5031967163086	HAMDEN	OH
11360	38.88079833984375	-89.86009979248047	HAMEL	IL
11361	45.073699951171875	-93.5687026977539	HAMEL	MN
11362	43.878501892089844	-112.26100158691406	HAMER	ID
11363	34.484901428222656	-79.3501968383789	HAMER	SC
11364	38.902198791503906	-83.9822998046875	HAMERSVILLE	OH
